11:37:55.905 [main] INFO  c.J.JournelApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.6 with PID 10684 (/home/manu-raj/Projects/JournelApp/target/classes started by manu-raj in /home/manu-raj/Projects/JournelApp)
11:37:55.906 [main] INFO  c.J.JournelApp.JournalAppApplication - The following 1 profile is active: "dev"
11:37:56.263 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
11:37:56.326 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 0 Reactive MongoDB repository interfaces.
11:37:56.329 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
11:37:56.338 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 3 MongoDB repository interfaces.
11:37:56.554 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
11:37:56.559 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
11:37:56.560 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:37:56.560 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
11:37:56.581 [main] INFO  o.a.c.c.C.[.[.[/journalApp] - Initializing Spring embedded WebApplicationContext
11:37:56.581 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 656 ms
